country,year,production,consumption
Algeria,2013,,2147
Algeria,2014,,2158
Algeria,2015,,2282
Algeria,2016,,2350
Arabicas,2014,86281,
Arabicas,2015,88433,
Arabicas,2016,102174,
Arabicas,2017,98843,
Australia,2013,,1543
Australia,2014,,1713
Australia,2015,,1720
Australia,2016,,1800
Bolivia,2014,106,
Bolivia,2015,89,
Bolivia,2016,81,
Bolivia,2017,80,
Brazil,2013,,20085
Brazil,2014,52299,20333
Brazil,2015,50388,20500
Brazil,2016,5.50E+04,20500
Brazil,2017,51500,
Burundi,2014,248,
Burundi,2015,274,
Burundi,2016,258,
Burundi,2017,280,
Cameroon,2014,483,
Cameroon,2015,391,
Cameroon,2016,295,
Cameroon,2017,375,
Canada,2013,,3805
Canada,2014,,3616
Canada,2015,,3595
Canada,2016,,3600
Colombia,2013,,1469
Colombia,2014,13339,1505
Colombia,2015,14009,1672
Colombia,2016,14634,1736
Colombia,2017,1.40E+04,
"Congo, DR",2014,335,
"Congo, DR",2015,371,
"Congo, DR",2016,324,
"Congo, DR",2017,335,
Costa Rica,2013,,335
Costa Rica,2014,1475,381
Costa Rica,2015,1440,449
Costa Rica,2016,1372,329
Costa Rica,2017,1560,
Cote d'Ivoire,2013,,317
Cote d'Ivoire,2014,1750,317
Cote d'Ivoire,2015,1882,317
Cote d'Ivoire,2016,1234,317
Cote d'Ivoire,2017,1500,
Cuba,2014,101,
Cuba,2015,100,
Cuba,2016,103,
Cuba,2017,100,
Dominican Republic,2013,,383
Dominican Republic,2014,397,388
Dominican Republic,2015,400,388
Dominican Republic,2016,412,390
Dominican Republic,2017,400,
Ecuador,2014,644,
Ecuador,2015,644,
Ecuador,2016,645,
Ecuador,2017,675,
El Salvador,2013,,275
El Salvador,2014,665,280
El Salvador,2015,565,285
El Salvador,2016,610,292
El Salvador,2017,740,
Ethiopia,2013,,3550
Ethiopia,2014,6575,3625
Ethiopia,2015,6714,3700
Ethiopia,2016,7297,3725
Ethiopia,2017,7650,
European Union,2013,,41458
European Union,2014,,42431
European Union,2015,,42604
European Union,2016,,42248
Guatemala,2013,,370
Guatemala,2014,3310,380
