country,month,value
Angola,2011-10-01,0
Benin,2011-10-01,0
Bolivia,2011-10-01,8.8628333
Brazil,2011-10-01,3186.982759
Burundi,2011-10-01,20.4182119
Cameroon,2011-10-01,10.5
Central African Republic,2011-10-01,0
Colombia,2011-10-01,602.7748464
"Congo, DR",2011-10-01,4.48205
Congo,2011-10-01,0
Costa Rica,2011-10-01,32.020408
Cote d'Ivoire,2011-10-01,43.6123167
Cuba,2011-10-01,0
Dominican Republic,2011-10-01,0.5611538
Ecuador,2011-10-01,143.9921033
El Salvador,2011-10-01,24.1395488
Equatorial Guinea,2011-10-01,0
Ethiopia,2011-10-01,184.74252
Gabon,2011-10-01,0
Ghana,2011-10-01,4.8910333
Guatemala,2011-10-01,98.5492477
Guinea,2011-10-01,26.2827922
Guyana,2011-10-01,0.04919
Haiti,2011-10-01,0.3631596
Honduras,2011-10-01,17.8369983
India,2011-10-01,264.7210462
Indonesia,2011-10-01,494.4315102
Jamaica,2011-10-01,0.2298006
Kenya,2011-10-01,29.8506937
Laos,2011-10-01,31.9343292
Liberia,2011-10-01,0.7464361
Madagascar,2011-10-01,20.5044416
Malawi,2011-10-01,1.0902194
Mexico,2011-10-01,178.9311718
Nepal,2011-10-01,0.2117598
Nicaragua,2011-10-01,41.104655
Nigeria,2011-10-01,8.11e-5
Panama,2011-10-01,1.3028116
Papua New Guinea,2011-10-01,145.4172723
Paraguay,2011-10-01,0.0015167
Peru,2011-10-01,600.09982
Philippines,2011-10-01,1.3298529
Rwanda,2011-10-01,43.030878800000004
Sierra Leone,2011-10-01,3.3981927
Sri Lanka,2011-10-01,0.1716033
Tanzania,2011-10-01,30.34
Thailand,2011-10-01,19.3252031
Timor-Leste,2011-10-01,3.7065285
Togo,2011-10-01,3.94455
Trinidad & Tobago,2011-10-01,0.0243669
Uganda,2011-10-01,215.285
Venezuela,2011-10-01,0.0390292
Vietnam,2011-10-01,1068.71525
Yemen,2011-10-01,2.5279685
Zambia,2011-10-01,1.7
Zimbabwe,2011-10-01,0.2116547
Angola,2011-11-01,1.455
Benin,2011-11-01,0
Bolivia,2011-11-01,8.2363333
Brazil,2011-11-01,3049.15488
Burundi,2011-11-01,26.0975215
Cameroon,2011-11-01,19.463
Central African Republic,2011-11-01,0
Colombia,2011-11-01,773.8150624
"Congo, DR",2011-11-01,12.1579167
Congo,2011-11-01,0
Costa Rica,2011-11-01,70.0468188
Cote d'Ivoire,2011-11-01,64.24205
Cuba,2011-11-01,0.3
Dominican Republic,2011-11-01,3.0394603
Ecuador,2011-11-01,138.262943
El Salvador,2011-11-01,28.9352243
Equatorial Guinea,2011-11-01,0
Ethiopia,2011-11-01,148.0111084
Gabon,2011-11-01,0
Ghana,2011-11-01,1.5639833
Guatemala,2011-11-01,104.9493831
Guinea,2011-11-01,35.4710758
Guyana,2011-11-01,0.04919
Haiti,2011-11-01,0.0761096
Honduras,2011-11-01,73.509564
India,2011-11-01,276.1346797
Indonesia,2011-11-01,538.2455037
